0,3
1,9
2,1
3,8
4,3
5,2
6,7
7,4
8,8
9,2
10,5
11,0
12,0
13,9
14,5
15,3
16,5
17,9
18,5
19,2
20,10
21,9
22,8
23,10
24,1
25,4
26,10
27,0
28,9
29,2
30,2
31,10
32,5
33,5
34,8
35,9
36,7
37,2
38,6
39,3
40,1
41,1
42,3
43,8
44,8
45,7
46,5
47,0
48,2
49,10
50,4
51,5
52,4
53,2
54,9
55,2
56,7
57,3
58,7
59,10
60,5
61,3
62,7
63,2
64,3
65,0
66,4
67,1
68,7
69,10
70,5
71,2
72,8
73,9
74,2
75,10
76,6
77,3
78,2
79,5
80,0
81,2
82,9
83,1
84,2
85,7
86,6
87,4
88,7
89,9
90,9
91,1
92,7
93,1
94,6
95,4
96,7
97,2
98,1
99,7
100,0
101,9
102,7
103,8
104,10
105,6
106,0
107,0
108,6
109,10
110,8
111,7
112,9
113,9
114,0
115,5
116,10
117,4
118,8
119,9
120,3
